service_id,date,exception_type
20150830_MTWTF--_39,20150916,1
20150830_MTWTF--_39,20150917,1
20150830_MTWTF--_39,20150918,1
20150830_MTWTF--_39,20150921,1
20150830_MTWTF--_39,20150922,1
20150830_MTWTF--_39,20150923,1
20150830_MTWTF--_39,20150924,1
20150830_MTWTF--_39,20150925,1
20150830_MTWTF--_39,20150928,1
20150830_MTWTF--_39,20150929,1
20150830_MTWTF--_39,20150930,1
20150830_MTWTF--_39,20151001,1
20150830_MTWTF--_39,20151002,1
20150830_MTWTF--_39,20151005,1
20150830_MTWTF--_39,20151006,1
20150830_MTWTF--_39,20151007,1
20150830_MTWTF--_39,20151008,1
20150830_MTWTF--_39,20151009,1
20150830_MTWTF--_39,20151012,1
20150830_MTWTF--_39,20151013,1
20150830_MTWTF--_39,20151014,1
20150830_MTWTF--_39,20151015,1
20150830_MTWTF--_39,20151016,1
20150830_MTWTF--_39,20151019,1
20150830_MTWTF--_39,20151020,1
20150830_MTWTF--_39,20151021,1
20150830_MTWTF--_39,20151022,1
20150830_MTWTF--_39,20151023,1
20150830_MTWTF--_39,20151026,1
20150830_MTWTF--_39,20151027,1
20150830_MTWTF--_39,20151028,1
20150830_MTWTF--_39,20151029,1
20150830_MTWTF--_39,20151030,1
20150830_MTWTF--_39,20151102,1
20150830_MTWTF--_39,20151103,1
20150830_MTWTF--_39,20151104,1
20150830_MTWTF--_39,20151105,1
20150830_MTWTF--_39,20151106,1
20150830_MTWTF--_39,20151109,1
20150830_MTWTF--_39,20151110,1
20150830_MTWTF--_39,20151111,1
20150830_MTWTF--_39,20151112,1
20150830_MTWTF--_39,20151113,1
20150830_MTWTF--_39,20151116,1
20150830_MTWTF--_39,20151117,1
20150830_MTWTF--_39,20151118,1
20150830_MTWTF--_39,20151119,1
20150830_MTWTF--_39,20151120,1
20150830_MTWTF--_39,20151123,1
20150830_MTWTF--_39,20151124,1
20150830_MTWTF--_39,20151125,1
20150830_MTWTF--_39,20151126,1
20150830_MTWTF--_39,20151127,1
20150830_MTWTF--_39,20151130,1
20150830_MTWTF--_39,20151201,1
20150830_MTWTF--_39,20151202,1
20150830_MTWTF--_39,20151203,1
20150830_MTWTF--_39,20151204,1
20150830_MTWTF--_39,20151207,1
20150830_MTWTF--_39,20151208,1
20150830_MTWTF--_39,20151209,1
20150830_MTWTF--_39,20151210,1
20150830_MTWTF--_39,20151211,1
20150830_MTWTF--_39,20151214,1
20150830_MTWTF--_39,20151215,1
20150830_MTWTF--_39,20151216,1
20150830_MTWTF--_39,20151217,1
20150830_MTWTF--_39,20151218,1
20150830_MTWTF--_39,20151221,1
20150830_MTWTF--_39,20151222,1
20150830_MTWTF--_39,20151223,1
20150830_MTWTF--_39,20151225,2
20150830_MTWTF--_39,20151228,1
20150830_MTWTF--_39,20151229,1
20150830_MTWTF--_39,20151230,1
20150830_MTWTF--_39,20160101,2
20150830_MTWTF--_39,20160104,1
20150830_MTWTF--_39,20160105,1
20150830_MTWTF--_39,20160106,1
20150830_MTWTF--_39,20160107,1
20150830_MTWTF--_39,20160108,1
20150830_MTWTF--_39,20160111,1
20150830_MTWTF--_39,20160112,1
20150830_MTWTF--_39,20160113,1
20150830_MTWTF--_39,20160114,1
20150830_MTWTF--_39,20160115,1
20150830_MTWTF--_39,20160118,1
20150830_MTWTF--_39,20160119,1
20150830_MTWTF--_39,20160120,1
20150830_MTWTF--_39,20160121,1
20150830_MTWTF--_39,20160122,1
20150830_MTWTF--_39,20160125,1
20150830_MTWTF--_39,20160126,1
20150830_MTWTF--_39,20160127,1
20150830_MTWTF--_39,20160128,1
20150830_MTWTF--_39,20160129,1
20150830_MTWTF--_39,20160201,1
20150830_MTWTF--_39,20160202,1
20150830_MTWTF--_39,20160203,1
20150830_MTWTF--_39,20160204,1
20150830_MTWTF--_39,20160205,1
20150830_MTWTF--_39,20160208,1
20150830_MTWTF--_39,20160209,1
20150830_MTWTF--_39,20160210,1
20150830_MTWTF--_39,20160211,1
20150830_MTWTF--_39,20160212,1
20150830_MTWTF--_39,20160215,1
20150830_MTWTF--_39,20160216,1
20150830_MTWTF--_39,20160217,1
20150830_MTWTF--_39,20160218,1
20150830_MTWTF--_39,20160219,1
20150830_MTWTF--_39,20160222,1
20150830_MTWTF--_39,20160223,1
20150830_MTWTF--_39,20160224,1
20150830_MTWTF--_39,20160225,1
20150830_MTWTF--_39,20160226,1
20150830_MTWTF--_39,20160229,1
20150830_MTWTF--_39,20160301,1
20150830_MTWTF--_39,20160302,1
20150830_MTWTF--_39,20160303,1
20150830_MTWTF--_39,20160304,1
20150830_MTWTF--_39,20160307,1
20150830_MTWTF--_39,20160308,1
20150830_MTWTF--_39,20160309,1
20150830_MTWTF--_39,20160310,1
20150830_MTWTF--_39,20160311,1
20150830_MTWTF--_39,20160314,1
20150830_MTWTF--_39,20160315,1
20150830_MTWTF--_39,20160316,1
20150830_MTWTF--_39,20160317,1
20150830_MTWTF--_39,20160318,1
20150830_MTWTF--_39,20160321,1
20150830_MTWTF--_39,20160322,1
20150830_MTWTF--_39,20160323,1
20150830_MTWTF--_39,20160324,2
20150830_MTWTF--_39,20160325,2
20150830_MTWTF--_39,20160328,2
20150830_MTWTF--_39,20160329,1
20150830_MTWTF--_39,20160330,1
20150830_MTWTF--_39,20160331,1
20150830_MTWTF--_39,20160401,1
20150830_MTWTF--_39,20160404,1
20150830_MTWTF--_39,20160405,1
20150830_MTWTF--_39,20160406,1
20150830_MTWTF--_39,20160407,1
20150830_MTWTF--_39,20160408,1
20150830_MTWTF--_39,20160411,1
20150830_MTWTF--_39,20160412,1
20150830_MTWTF--_39,20160413,1
20150830_MTWTF--_39,20160414,1
20150830_MTWTF--_39,20160415,1
20150830_MTWTF--_39,20160418,1
20150830_MTWTF--_39,20160419,1
20150830_MTWTF--_39,20160420,1
20150830_MTWTF--_39,20160421,2
20150830_MTWTF--_39,20160422,1
20150830_MTWTF--_39,20160425,1
20150830_MTWTF--_39,20160426,1
20150830_MTWTF--_39,20160427,1
20150830_MTWTF--_39,20160428,1
20150830_MTWTF--_39,20160429,1
20150830_MTWTF--_39,20160502,1
20150830_MTWTF--_39,20160503,1
20150830_MTWTF--_39,20160504,1
20150830_MTWTF--_39,20160505,2
20150830_MTWTF--_39,20160506,1
